timestamp,cpu_percent
2025-08-29T16:57:47.261726,22.5
2025-08-29T16:57:52.262873,11.1
2025-08-29T16:57:57.264064,11.4
2025-08-29T16:58:02.265485,9.6
2025-08-29T16:58:07.266733,13.0
2025-08-29T16:58:12.270668,14.2
2025-08-29T16:58:17.271560,9.7
2025-08-29T16:58:22.277382,10.2
2025-08-29T16:58:27.278386,10.2
2025-08-29T16:58:32.279403,10.0
2025-08-29T16:58:37.280400,9.8
2025-08-29T16:58:42.281462,2.9
2025-08-29T17:53:18.316138,4.7
2025-08-29T17:53:23.317534,0.7
2025-08-29T17:53:28.319320,1.8
2025-08-29T17:53:33.321193,1.7
2025-08-29T17:53:38.322267,3.2
2025-08-29T17:53:43.323847,1.5
2025-08-29T17:53:48.325068,1.6
2025-08-29T17:53:53.326430,1.4
2025-08-29T17:53:58.327305,1.4
2025-08-29T17:54:03.328321,2.6
2025-08-29T17:54:08.331000,4.9
2025-08-29T17:54:13.333271,0.9
2025-08-30T20:24:22.393078,29.3
2025-09-06T16:13:25.176018,7.0
2025-09-06T16:14:25.179448,5.0
2025-09-06T18:03:02.088178,5.1
2025-09-06T18:03:07.089059,8.9
2025-09-06T18:03:12.090008,10.4
2025-09-06T18:03:17.091043,0.0
2025-09-06T18:03:22.091784,1.8
2025-09-06T18:03:27.092691,6.8
2025-09-06T18:03:32.093450,3.9
2025-09-06T18:03:37.094409,2.6
2025-09-06T18:03:42.095544,3.7
2025-09-06T18:03:47.096636,9.0
2025-09-06T18:03:52.097440,2.1
2025-09-06T18:03:57.098353,9.7
2025-09-06T19:16:47.856611,2.7
2025-09-06T19:16:52.857771,10.2
2025-09-06T19:16:57.858324,5.2
2025-09-06T19:17:02.859069,8.1
2025-09-06T19:17:07.860181,4.6
2025-09-06T19:17:12.861773,0.0
2025-09-06T19:17:17.862622,2.6
2025-09-06T19:17:22.863309,24.3
2025-09-06T19:17:27.864541,3.8
2025-09-06T19:17:32.866579,0.1
2025-09-06T19:17:37.867191,5.2
2025-09-06T19:18:36.659187,13.2
2025-09-06T19:18:41.659900,0.4
2025-09-06T19:18:46.661397,1.4
2025-09-06T19:18:51.662595,2.7
2025-09-06T19:18:56.663532,9.0
2025-09-06T19:19:01.664143,0.5
2025-09-06T19:19:06.665744,0.4
2025-09-06T19:19:11.666872,0.6
2025-09-06T19:19:16.668635,0.4
2025-09-06T19:19:21.669767,0.9
2025-09-06T19:19:26.671387,0.9
2025-09-06T19:19:31.672693,0.6
2025-09-21T10:26:28.714762,1.2
2025-09-21T10:26:33.717367,0.8
2025-09-21T10:26:38.718362,1.6
2025-09-21T10:26:56.720433,2.4
2025-09-21T10:27:01.721315,0.5
2025-09-21T10:27:06.722330,1.3
2025-09-21T10:27:11.723577,0.4
2025-09-21T10:27:16.725097,3.8
2025-09-21T10:27:21.726194,5.3
2025-09-21T10:27:26.727233,5.1
2025-09-21T10:27:31.728518,4.4
2025-09-21T10:27:36.729930,3.0
2025-09-21T10:27:41.731006,5.6
2025-09-21T10:27:46.732026,12.9
2025-09-21T10:27:51.733327,1.8
2025-09-21T10:35:57.379223,1.8
2025-09-21T10:36:02.379814,3.1
2025-09-21T10:36:07.380726,4.3
2025-09-21T10:36:12.382023,3.8
2025-09-21T10:36:17.383366,0.7
2025-09-21T10:36:22.384593,1.2
2025-09-21T10:36:27.385545,11.9
2025-09-21T10:36:32.386577,10.1
2025-09-21T10:36:37.387054,0.4
2025-09-21T10:36:42.387949,1.0
2025-09-21T10:36:47.388554,2.9
2025-09-21T10:36:52.389636,3.8
2025-09-21T10:36:57.390406,1.0
2025-09-21T10:37:02.391652,3.8
2025-09-21T10:37:07.393115,11.2
2025-09-21T10:37:12.394561,0.8
2025-09-21T10:37:17.395922,1.2
2025-09-21T10:37:22.396926,1.8
2025-09-21T10:37:27.398392,0.7
2025-09-21T10:37:32.399662,1.8
2025-09-21T10:37:37.400616,1.0
2025-09-21T10:37:42.401978,0.8
2025-09-21T10:37:47.402934,2.0
2025-09-21T10:37:52.403863,1.4
2025-09-21T10:37:57.404866,3.6
2025-09-21T10:38:02.405612,4.3
2025-09-21T10:38:07.406714,7.8
2025-09-21T10:38:12.407670,3.4
2025-09-21T10:38:17.408910,4.4
2025-09-21T10:38:22.409924,2.7
2025-09-21T10:38:27.410724,3.8
2025-09-21T10:38:32.411411,2.5
2025-09-21T10:38:37.412628,5.3
2025-09-21T10:38:42.413219,5.9
2025-09-21T10:38:47.413966,0.4
2025-09-21T10:38:52.414848,0.4
2025-09-21T10:38:57.416136,2.6
2025-09-21T10:39:02.417345,0.3
2025-09-21T10:39:07.418270,0.3
2025-09-21T10:39:12.418934,2.2
2025-09-21T10:39:17.419888,2.0
2025-09-21T10:39:22.421108,5.3
2025-09-21T10:39:27.422351,5.8
2025-09-21T10:39:32.423469,0.9
2025-09-21T10:39:37.424457,4.4
2025-09-21T10:39:42.425516,0.6
2025-09-21T10:39:47.426401,1.6
2025-09-21T10:39:52.427474,1.0
2025-09-21T10:39:57.428944,0.6
2025-09-21T10:40:02.430444,0.1
2025-09-21T10:40:07.431275,1.6
2025-09-21T10:40:12.432769,2.0
2025-09-21T10:40:17.433516,1.2
2025-09-21T10:40:22.434537,1.6
2025-09-21T10:40:27.435726,1.2
2025-09-21T10:40:32.437597,2.1
2025-09-21T10:40:37.438233,4.8
2025-09-21T10:40:42.439310,7.7
2025-09-21T10:40:47.439993,4.8
2025-09-21T10:40:52.440816,2.1
2025-09-21T10:40:57.441708,2.0
2025-09-21T10:41:02.442971,1.6
2025-09-21T10:41:07.444060,1.2
2025-09-21T10:41:12.445003,1.8
2025-09-21T10:41:17.445939,1.6
2025-09-21T10:41:22.447641,1.2
2025-09-21T10:41:27.448231,1.0
2025-09-21T10:41:32.449791,0.9
2025-09-21T10:41:37.451170,1.2
2025-09-21T10:41:42.451626,1.8
2025-09-21T10:41:47.452448,1.2
2025-09-21T10:41:52.453832,5.4
2025-09-21T10:41:57.454609,9.4
2025-09-21T10:42:02.461126,7.2
2025-09-21T10:42:07.461946,5.7
2025-09-21T10:42:12.462667,1.5
2025-09-21T10:42:17.464435,0.0
2025-09-21T10:42:22.465722,0.1
2025-09-21T10:42:27.466889,0.0
2025-09-21T10:42:32.468081,0.0
2025-09-21T10:42:37.469456,1.9
2025-09-21T10:42:42.470653,0.4
2025-09-21T10:42:47.471973,1.8
2025-09-21T10:42:52.472759,3.0
2025-09-21T10:42:57.474412,0.7
2025-09-21T10:43:02.475661,1.2
2025-09-21T10:43:07.476970,1.0
2025-09-21T10:43:12.478107,0.6
2025-09-21T10:43:17.478756,3.5
2025-09-21T10:43:22.480672,0.8
2025-09-21T10:43:27.481439,3.2
2025-09-21T10:43:32.482808,0.5
2025-09-21T10:43:37.483736,1.4
2025-09-21T10:43:42.484409,2.1
2025-09-21T10:43:47.486082,1.4
2025-09-21T10:43:52.487409,1.7
2025-09-21T10:43:57.488580,4.3
2025-09-21T10:44:02.490153,1.9
2025-09-21T10:44:07.490972,1.7
2025-09-21T10:44:12.491836,4.0
2025-09-21T10:44:17.492669,1.0
2025-09-21T10:44:22.493712,1.7
2025-09-21T10:44:27.495035,2.2
2025-09-21T10:44:32.495660,0.4
2025-09-21T10:44:37.496485,0.5
2025-09-21T10:44:42.497541,0.8
2025-09-21T10:44:47.498518,1.5
2025-09-21T10:44:52.499355,1.0
2025-09-21T10:44:57.500226,1.7
2025-09-21T10:45:02.501699,1.6
2025-09-21T10:45:07.503078,1.2
2025-09-21T10:45:12.503753,3.7
2025-09-21T10:45:17.504617,0.9
2025-09-21T10:45:22.505686,2.9
2025-09-21T10:45:27.506649,1.7
2025-09-21T10:45:32.508137,1.4
2025-09-21T10:45:37.509481,1.3
2025-09-21T10:45:42.510926,0.7
2025-09-21T10:45:47.512103,1.0
2025-09-21T10:45:52.512835,12.8
2025-09-21T10:45:57.513717,1.0
2025-09-21T10:46:02.514832,5.7
2025-09-21T10:46:07.515964,2.7
2025-09-21T10:46:12.517049,2.2
2025-09-21T10:46:17.518594,2.6
2025-09-21T10:46:22.519245,1.5
2025-09-21T10:46:27.519932,0.8
2025-09-21T10:46:32.521117,1.7
2025-09-21T10:46:37.522104,0.1
2025-09-21T10:46:42.522869,4.1
2025-09-21T10:46:47.524113,4.8
2025-09-21T10:46:52.525357,13.3
2025-09-21T10:46:57.526477,0.6
2025-09-21T10:47:02.527969,3.7
2025-09-21T10:47:07.529054,5.8
2025-09-21T10:47:12.529830,2.9
2025-09-21T10:47:17.530799,10.4
2025-09-21T10:47:22.531568,2.3
2025-09-21T10:47:27.532502,10.0
2025-09-21T10:47:32.534460,12.5
2025-09-21T10:47:37.535871,25.8
2025-09-21T10:47:42.537028,7.3
2025-09-21T10:47:47.537605,6.3
2025-09-21T10:47:52.538650,11.5
2025-09-21T10:47:57.539685,5.1
2025-09-21T10:48:02.541203,4.6
2025-09-21T10:48:07.541658,3.1
2025-09-21T10:48:12.542285,1.3
2025-09-21T10:48:17.543266,3.5
2025-09-21T10:48:22.544068,2.4
2025-09-21T10:48:27.544979,3.1
2025-09-21T10:48:32.545911,2.5
2025-09-21T10:48:37.546708,1.3
2025-09-21T10:48:42.547713,2.6
2025-09-21T10:48:47.548314,1.9
2025-09-21T10:48:52.549673,8.4
2025-09-21T10:48:57.550554,1.7
2025-09-21T10:49:02.551307,2.6
2025-09-21T10:49:07.551928,2.1
2025-09-21T10:49:12.552714,2.9
2025-09-21T10:49:17.553515,1.6
2025-09-21T10:49:22.554091,1.2
2025-09-21T10:49:27.554932,1.0
2025-09-21T10:49:32.556301,1.2
2025-09-21T10:49:37.557158,1.2
2025-09-21T10:49:42.559279,1.3
2025-09-21T10:49:47.560200,1.3
2025-09-21T10:49:52.561156,6.8
2025-09-21T10:49:57.562054,1.4
2025-09-21T10:50:02.562635,1.4
2025-09-21T10:50:07.563598,2.8
2025-09-21T10:50:12.564367,7.9
2025-09-21T10:50:17.564835,0.8
2025-09-21T10:50:22.565791,2.3
2025-09-21T10:50:27.567183,4.7
2025-09-21T10:50:32.567996,2.4
2025-09-21T10:50:37.568935,6.7
2025-09-21T10:50:42.570446,3.0
2025-09-21T10:50:47.571384,3.3
2025-09-21T10:50:52.572462,7.4
2025-09-21T10:50:57.573153,2.5
2025-09-21T10:51:02.574088,0.9
2025-09-21T10:51:07.574917,2.6
2025-09-21T10:51:12.575720,2.4
2025-09-21T10:51:17.576500,1.3
2025-09-21T10:51:22.577310,1.8
2025-09-21T10:51:27.578055,0.9
2025-09-21T10:51:32.578626,0.9
2025-09-21T10:51:37.579350,1.4
2025-09-21T10:51:42.579765,1.4
2025-09-21T10:51:47.580689,3.4
2025-09-21T10:51:52.581939,3.8
2025-09-21T10:51:57.582624,3.0
2025-09-21T10:52:02.583492,5.5
2025-09-21T10:52:07.584451,6.3
2025-09-21T10:52:12.585813,5.2
2025-09-21T10:52:17.586956,5.3
2025-09-21T10:52:22.587973,9.0
2025-09-21T10:52:27.588925,4.1
2025-09-21T10:52:32.589620,0.9
2025-09-21T10:52:37.590497,17.2
2025-09-21T10:52:42.591352,4.5
2025-09-21T10:52:47.592344,4.7
2025-09-21T10:52:52.593593,3.9
2025-09-21T10:52:57.594564,1.3
2025-09-21T10:53:02.597602,0.9
2025-09-21T10:53:07.598360,4.5
2025-09-21T10:53:12.599141,3.3
2025-09-21T10:53:17.599785,4.4
2025-09-21T10:53:22.600924,1.3
2025-09-21T10:53:27.602081,1.8
2025-09-21T10:53:32.603247,1.7
2025-09-21T10:53:37.604085,3.6
2025-09-21T10:53:42.604599,3.2
2025-09-21T10:53:47.605643,1.2
2025-09-21T10:53:52.607226,2.2
2025-09-21T10:53:57.608134,0.4
2025-09-21T10:54:02.608747,0.1
2025-09-21T10:54:07.609355,1.6
2025-09-21T10:54:12.610230,2.1
2025-09-21T10:54:17.611087,3.0
2025-09-21T10:54:22.612191,1.7
2025-09-21T10:54:27.612926,2.0
2025-09-21T10:54:32.613647,1.4
2025-09-21T10:54:37.614225,2.1
2025-09-21T10:54:42.615343,0.9
2025-09-21T10:54:47.616336,1.7
2025-09-21T10:54:52.617125,3.0
2025-09-21T10:54:57.617751,1.8
2025-09-21T10:55:02.619069,2.6
2025-09-21T10:55:07.619941,0.7
2025-09-21T10:55:12.620386,0.7
2025-09-21T10:55:17.620925,8.4
2025-09-21T10:55:22.621546,5.1
2025-09-21T10:55:27.622272,2.6
2025-09-21T10:55:32.622766,4.9
2025-09-21T10:55:37.623313,1.0
2025-09-21T10:55:42.623904,2.2
2025-09-21T10:55:47.624987,1.6
2025-09-21T10:55:52.625841,3.5
2025-09-21T10:55:57.627059,3.2
2025-09-21T10:56:02.628042,5.8
2025-09-21T10:56:07.629171,3.1
2025-09-21T10:56:12.630747,4.8
2025-09-21T10:56:17.631500,2.1
2025-09-21T10:56:22.632239,1.8
2025-09-21T10:56:27.633024,3.0
2025-09-21T10:56:32.634181,3.9
2025-09-21T10:56:37.634962,1.6
2025-09-21T10:56:42.635543,1.7
2025-09-21T10:56:47.636501,4.4
2025-09-21T10:56:52.637056,25.9
2025-09-21T10:56:57.638031,19.4
2025-09-21T10:57:02.638632,7.9
2025-09-21T10:57:07.639554,8.6
2025-09-21T10:57:12.640345,7.2
2025-09-21T10:57:17.642447,7.0
2025-09-21T10:57:22.643569,8.1
2025-09-21T10:57:27.644587,9.4
2025-09-21T10:57:32.645716,6.1
2025-09-21T10:57:37.646378,9.4
2025-09-21T10:57:42.647544,12.9
2025-09-21T10:57:47.648507,7.3
2025-09-21T10:57:52.649427,7.1
2025-09-21T10:57:57.650357,7.9
2025-09-21T10:58:02.650984,6.7
2025-09-21T10:58:07.651457,14.8
2025-09-21T10:58:12.652230,14.2
2025-09-21T10:58:17.652937,9.2
2025-09-21T10:58:22.653929,15.6
2025-09-21T10:58:27.654345,8.9
2025-09-21T10:58:32.655583,8.5
2025-09-21T10:58:37.656463,8.5
2025-09-21T10:58:42.657538,12.7
2025-09-21T10:58:47.658408,9.1
2025-09-21T10:58:52.658887,10.5
2025-09-21T10:58:57.659785,6.2
2025-09-21T10:59:02.660463,8.1
2025-09-21T10:59:07.660932,15.7
2025-09-21T10:59:12.661505,9.7
2025-09-21T10:59:17.662234,7.2
2025-09-21T10:59:22.663320,7.8
2025-09-21T10:59:27.663985,9.9
2025-09-21T10:59:32.664739,9.8
2025-09-21T10:59:37.665377,14.4
2025-09-21T10:59:42.666190,7.6
2025-09-21T10:59:47.667252,9.6
2025-09-21T10:59:52.668190,9.2
2025-09-21T10:59:57.668750,18.4
2025-09-21T11:00:02.670256,15.7
2025-09-21T11:00:07.671070,10.5
2025-09-21T11:00:12.671843,10.6
2025-09-21T11:00:17.672173,7.1
2025-09-21T11:00:22.672934,8.1
2025-09-21T11:00:27.674023,8.1
2025-09-21T11:00:32.674793,11.7
2025-09-21T11:00:37.675917,9.8
2025-09-21T11:00:42.677436,9.7
2025-09-21T11:00:47.678773,12.1
2025-09-21T11:00:52.679961,8.8
2025-09-21T11:00:57.681090,8.0
2025-09-21T11:01:02.682209,5.3
2025-09-21T11:01:07.683058,7.8
2025-09-21T11:01:12.683918,7.5
2025-09-21T11:01:17.684644,5.7
2025-09-21T11:01:22.686029,7.3
2025-09-21T11:01:27.686840,8.7
2025-09-21T11:01:32.687544,10.1
2025-09-21T11:01:37.688345,8.1
2025-09-21T11:01:42.689499,8.5
2025-09-21T11:01:47.690868,12.3
2025-09-21T11:01:52.692137,12.0
2025-09-21T11:01:57.692941,6.9
2025-09-21T11:02:02.694041,8.5
2025-09-21T11:02:07.694473,8.8
2025-09-21T11:02:12.695551,6.7
2025-09-21T11:02:17.696491,11.5
2025-09-21T11:02:22.697753,7.4
2025-09-21T11:02:27.698204,16.7
2025-09-21T11:02:32.699716,12.3
2025-09-21T11:02:37.700596,8.9
2025-09-21T11:02:42.701539,5.8
2025-09-21T11:02:47.702734,9.7
2025-09-21T11:02:52.703578,9.6
2025-09-21T11:02:57.704291,7.9
2025-09-21T11:03:02.705446,11.0
2025-09-21T11:03:07.706109,12.1
2025-09-21T11:03:12.707038,8.7
2025-09-21T11:03:17.708059,9.4
2025-09-21T11:03:22.709350,11.1
2025-09-21T11:03:27.710170,10.4
2025-09-21T11:03:32.711096,8.7
2025-09-21T11:03:37.711683,9.8
2025-09-21T11:03:42.712861,3.7
2025-09-21T11:03:47.714192,1.9
2025-09-21T11:03:52.714966,9.7
2025-09-21T11:03:57.715991,11.7
2025-09-21T11:04:02.716648,2.7
2025-09-21T11:04:07.717933,2.6
2025-09-21T11:04:12.719236,3.4
2025-09-21T11:04:17.720550,1.7
2025-09-21T11:04:22.722033,1.0
2025-09-21T11:04:27.723094,1.8
2025-09-21T11:04:32.724750,0.8
2025-09-21T11:04:37.726064,1.4
2025-09-21T11:04:42.728008,1.3
2025-09-21T11:04:47.729029,1.4
2025-09-21T11:04:52.730108,3.6
2025-09-21T11:04:57.730946,5.3
2025-09-21T11:05:02.731500,1.3
2025-09-21T11:05:07.732544,2.2
2025-09-21T11:05:12.733207,4.2
2025-09-21T11:05:17.734388,0.4
2025-09-21T11:05:22.735464,1.7
2025-09-21T11:05:27.736288,1.1
2025-09-21T11:05:32.737143,1.4
2025-09-21T11:05:37.741064,2.3
2025-09-21T11:05:42.742092,12.9
2025-09-21T11:05:47.743337,1.5
2025-09-21T11:05:52.744070,3.9
